Time, Latitude(DD), Longitude(DD), Latitude(m), Longitude(m), Altitude(m), Roll(deg), Pitch(deg), Yaw(deg)
1508313130.000000, 48.237833, 16.331775, 5343592.500000, 598885.937500, 281.399994, -0.405982, -1.219002, -74.273064
1508313131.000000, 48.237837, 16.331768, 5343592.500000, 598885.437500, 279.000000, -0.423511, -1.243466, -74.284813
1508313132.000000, 48.237838, 16.331763, 5343593.000000, 598885.062500, 276.700012, -0.445790, -1.224755, -74.205414
1508313133.000000, 48.237837, 16.331757, 5343592.500000, 598884.562500, 275.700012, -0.362417, -1.213734, -74.326607
1508313134.000000, 48.237840, 16.331750, 5343593.000000, 598884.062500, 273.700012, -0.415069, -1.235443, -74.286560
1508313135.000000, 48.237840, 16.331745, 5343593.000000, 598883.750000, 273.500000, -0.361184, -1.229160, -74.324409
1508313136.000000, 48.237820, 16.331745, 5343591.000000, 598883.750000, 281.500000, -0.411238, -1.197060, -74.276283
1508313137.000000, 48.237822, 16.331738, 5343591.000000, 598883.250000, 281.299988, -0.430426, -1.221499, -74.288406
1508313138.000000, 48.237825, 16.331733, 5343591.500000, 598882.875000, 281.299988, -0.391662, -1.190973, -74.260818
1508313139.000000, 48.237833, 16.331732, 5343592.000000, 598882.750000, 281.600006, -0.398824, -1.239722, -74.280144
1508313140.000000, 48.237838, 16.331723, 5343593.000000, 598882.125000, 281.100006, -0.400051, -1.243721, -74.276184
1508313141.000000, 48.237845, 16.331717, 5343593.500000, 598881.625000, 280.000000, -0.377698, -1.196261, -74.271385
1508313142.000000, 48.237838, 16.331718, 5343593.000000, 598881.750000, 279.000000, -0.389578, -1.235842, -74.331017
1508313143.000000, 48.237833, 16.331717, 5343592.000000, 598881.625000, 278.600006, -0.388651, -1.193728, -74.274178
1508313144.000000, 48.237832, 16.331715, 5343592.000000, 598881.500000, 278.000000, -0.383881, -1.212626, -74.318901
1508313145.000000, 48.237830, 16.331715, 5343592.000000, 598881.500000, 277.799988, -0.435637, -1.260557, -74.291656
1508313146.000000, 48.237830, 16.331713, 5343592.000000, 598881.375000, 277.100006, -0.392081, -1.192861, -74.271873
1508313147.000000, 48.237825, 16.331713, 5343591.500000, 598881.375000, 275.799988, -0.370408, -1.220680, -74.313622
1508313148.000000, 48.237822, 16.331713, 5343591.000000, 598881.375000, 274.799988, -0.373828, -1.217118, -74.293945
1508313149.000000, 48.237815, 16.331707, 5343590.000000, 598880.937500, 274.000000, -0.403964, -1.195136, -74.282188
